开学日期,学期结束
2012-09-03,2013-01-21
2013-02-24,2013-07-10
2013-09-03,2014-01-12
2014-02-17,2014-07-14
2014-09-01,2015-01-18
2015-03-02,2015-07-19
2015-08-31,2016-01-17
2016-02-22,2016-07-10
2016-08-29,2017-01-15
2017-02-18,2017-06-13
