学号,平均消费额/天,消费额为0的天数
92429184,0.3560606060606061,0.43333333333333335
69897276,0.38636363636363635,0.45714285714285713
17800824,0.2705627705627705,0.4797619047619048
46489947,0.2727272727272727,0.275
38023204,0.2694805194805195,0.3523809523809524
74296779,0.2867965367965367,0.3130952380952381
92038204,0.20129870129870125,0.30952380952380953
37992102,0.48593073593073594,0.4642857142857143
93312344,0.1331168831168831,0.3904761904761905
22246262,0.3311688311688311,0.3380952380952381
96397623,0.3214285714285714,0.3726190476190476
16382176,0.25541125541125537,0.4011904761904762
38839828,0.21212121212121207,0.4166666666666667
22692191,0.24999999999999997,0.3011904761904762
2022736,0.2489177489177489,0.36904761904761907
18152284,0.3235930735930736,0.4107142857142857
19172173,0.4480519480519481,0.40476190476190477
62270929,0.2748917748917749,0.3523809523809524
18142392,0.1893939393939394,0.3
24332823,0.20779220779220778,0.33214285714285713
33836494,0.29545454545454547,0.25833333333333336
13729119,0.34523809523809523,0.2857142857142857
82170093,0.2186147186147186,0.3476190476190476
49868022,0.3971861471861472,0.2845238095238095
20133362,0.2727272727272727,0.3261904761904762
84219943,0.3484848484848485,0.2833333333333333
42212441,0.3614718614718615,0.2630952380952381
24268183,0.22727272727272727,0.40595238095238095
36132829,0.2705627705627705,0.4797619047619048
49979246,0.3625541125541125,0.25952380952380955
94599231,0.24458874458874455,0.29404761904761906
91133323,0.11904761904761904,0.38095238095238093
90236161,0.3376623376623376,0.5714285714285714
93972171,0.3993506493506494,0.42142857142857143
93048921,0.34523809523809523,0.33690476190476193
12339847,0.13528138528138528,0.6654761904761904
42830301,0.29437229437229434,0.37023809523809526
76192623,0.2489177489177489,0.544047619047619
91016172,0.1753246753246753,0.45357142857142857
20329413,0.4253246753246753,0.30238095238095236
12692932,0.19372294372294369,0.4
29409979,0.23160173160173156,0.24523809523809523
48916380,0.3192640692640692,0.2369047619047619
89197097,0.2792207792207792,0.3523809523809524
77297429,0.6341991341991342,0.30833333333333335
32906203,0.2543290043290043,0.32976190476190476
81976906,0.22619047619047616,0.275
44773872,0.3852813852813853,0.48928571428571427
33338238,0.4274891774891775,0.25
71962216,0.23484848484848483,0.4238095238095238
