stu_id, value
59692677, 1.000000
26869329, 0.183300
98143248, 0.637000
32419192, 1.000000
79021999, 1.000000
89876069, 0.148100
91967339, 1.000000
43624422, 1.000000
87102840, 0.701900
41690327, 0.046300
69326219, 0.233300
49190683, 0.570400
3022911, 0.150000
91929771, 1.000000
12683499, 1.000000
98205217, 0.013000
99279221, 0.005600
17630337, 0.166700
16149242, 0.181500
21407996, 0.003700
18383820, 0.511100
63222660, 0.113000
12272898, 0.001900
37264260, 0.255600
22032194, 0.255600
28698044, 0.014800
96583396, 0.329600
71781999, 1.000000
98791619, 0.201900
40888439, 0.601900
17119287, 0.079600
97947983, 0.103700
69181222, 0.001900
70286630, 0.111100
79229711, 0.781500
19006142, 0.029600
26602406, 0.614800
21864360, 0.148100
38111919, 0.116700
92317289, 0.294400
66933598, 0.883300
37032779, 0.100000
12994599, 0.059300
1321270, 0.081500
43939238, 1.000000
42922312, 1.000000
23191033, 0.013000
41910912, 0.018500
22292427, 0.001900
82946273, 0.035200
46334211, 0.079600
99473166, 0.668500
86222192, 0.000000
8213811, 0.277800
46916777, 0.463000
32330861, 0.283300
70233937, 1.000000
94320163, 1.000000
31133242, 0.016700
62299016, 0.333300
29224773, 0.024100
79297672, 0.209300
31537109, 0.001900
14993225, 0.046300
44229330, 1.000000
56469986, 0.096300
88865393, 0.159300
76100224, 0.055600
22822940, 1.000000
43943629, 1.000000
28068877, 0.166700
51399169, 0.061100
91795218, 1.000000
1639181, 1.000000
18192827, 0.161100
22940234, 0.153700
92297907, 0.025900
77769892, 0.418500
42999792, 0.661100
91924121, 0.018500
29029964, 0.042600
61871022, 0.001900
26149279, 1.000000
29643441, 0.216700
59714903, 0.040700
46411633, 0.000000
92913129, 0.653700
29208174, 0.235200
32569348, 0.281500
27269638, 0.092600
13331214, 0.079600
93432920, 0.344400
76243323, 0.209300
22733209, 1.000000
19599317, 0.142600
21281232, 0.835200
59322429, 0.066700
22119891, 0.001900
23992044, 0.016700
98263116, 0.827800
39127718, 0.592600
71299798, 0.385200
26792103, 0.011100
77046298, 0.194400
63712099, 0.227800
62033606, 0.083300
92032628, 0.175900
29873668, 0.013000
95432713, 1.000000
14011239, 0.135200
62001204, 0.000000
2623391, 0.081500
22992137, 0.051900
96891112, 1.000000
72416202, 0.013000
49113228, 0.170400
73939001, 0.198100
38301691, 0.029600
33029233, 1.000000
67732262, 0.629600
9496031, 0.461100
71219490, 0.003700
33323011, 0.001900
92231071, 0.694400
91366337, 0.333300
2332306, 0.046300
63242066, 0.107400
84189602, 0.064800
29984237, 0.190700
54612119, 0.259300
6318669, 0.451900
82016964, 0.235200
10862996, 0.372200
19673227, 0.003700
74141239, 0.174100
23122142, 1.000000
21124827, 0.351900
22324214, 1.000000
16921733, 0.859300
4962462, 0.000000
92438922, 0.009300
63921848, 0.081500
39910683, 0.225900
32492031, 0.453700
66727289, 0.679600
9732136, 0.555600
94792971, 0.059300
48229119, 0.235200
81417639, 0.007400
82423196, 1.000000
18769130, 0.022200
37249223, 0.179600
58922274, 0.003700
99693166, 0.053700
29723217, 0.605600
2482161, 0.516700
19642216, 0.022200
22149479, 0.003700
91122699, 0.148100
29637312, 0.066700
12991937, 0.005600
11828892, 0.014800
14797142, 0.022200
33623113, 0.144400
99848606, 0.507400
11270819, 0.135200
42246036, 0.214800
37413091, 0.101900
71226129, 0.003700
49961411, 0.003700
43227991, 0.251900
33873291, 0.000000
22217249, 0.029600
29306140, 0.055600
22323444, 0.088900
80666322, 0.014800
87125989, 0.103700
82939312, 0.113000
62029442, 0.381500
32297027, 0.311100
19282986, 0.000000
27712313, 0.013000
67274632, 0.013000
39399012, 0.001900
42672021, 0.005600
21093423, 0.163000
93191491, 0.024100
69930216, 0.157400
23384869, 0.000000
21114492, 1.000000
48932149, 0.164800
71929842, 0.037000
33682222, 0.018500
21298290, 0.001900
63290092, 0.014800
29493220, 0.290700
29672992, 0.137000
11292928, 0.072200
13629095, 0.014800
24291925, 0.401900
21916672, 0.003700
42122809, 0.051900
87918729, 0.020400
61212217, 0.107400
88224931, 0.031500
71935962, 0.292600
12488432, 0.009300
23713037, 0.007400
31211294, 0.314800
23117964, 0.048100
33120893, 0.003700
261102, 0.000000
83461194, 0.368500
74297946, 0.016700
89127118, 0.075900
54237292, 0.129600
39133393, 0.003700
38749916, 0.011100
21922870, 0.009300
38933320, 0.055600
61956394, 0.018500
22932093, 0.031500
31632391, 0.037000
32072811, 0.085200
77804792, 0.055600
96229349, 0.000000
79982491, 0.007400
10981267, 0.581500
39298367, 0.070400
36230129, 0.259300
64194119, 0.074100
34179138, 0.085200
73639245, 0.044400
13049738, 0.055600
91231222, 0.163000
2921723, 0.000000
81289076, 0.025900
22139088, 0.374100
13983238, 0.051900
42206292, 0.027800
98199227, 0.338900
33896012, 0.048100
24498939, 0.003700
48432242, 0.014800
29010893, 0.000000
46608617, 0.025900
34283199, 0.100000
91222791, 0.024100
81629113, 0.000000
18987262, 0.125900
9392239, 0.159300
34301967, 0.027800
32263969, 0.050000
97914097, 0.024100
91269834, 0.013000
22291224, 0.001900
72926492, 0.018500
33310188, 0.007400
14344222, 0.242600
72021162, 0.018500
91959928, 0.005600
49263139, 0.024100
23069847, 0.011100
92330926, 0.027800
39327913, 0.007400
6934131, 0.079600
99308247, 0.114800
2304833, 0.151900
84291923, 0.003700
96112881, 0.013000
8910889, 0.185200
28033191, 0.001900
27974829, 0.000000
92138177, 0.059300
49701189, 0.000000
17009389, 0.029600
72214862, 0.168500
35679232, 0.001900
13083383, 0.018500
13979797, 0.024100
93103632, 0.003700
88174269, 0.255600
22919983, 0.064800
79974019, 0.001900
32297314, 0.290700
28244214, 0.113000
39292272, 0.014800
76986119, 0.218500
71994233, 0.055600
38271868, 0.238900
40233347, 0.009300
99834911, 0.001900
92194942, 0.179600
99494129, 0.179600
3299292, 0.024100
4163827, 0.111100
14126921, 0.031500
31321294, 0.033300
69221948, 0.011100
92868940, 0.183300
9477172, 0.185200
76972492, 0.000000
81396717, 0.003700
66248823, 0.027800
28147323, 0.024100
92323913, 0.003700
393628, 0.001900
3342947, 0.066700
1926134, 0.040700
59199998, 0.081500
91133323, 0.098100
73399613, 0.044400
29281277, 0.124100
84727041, 0.027800
79498859, 0.155600
26092039, 0.027800
22272721, 0.025900
6339222, 0.031500
41922273, 0.164800
12812493, 0.029600
7481936, 0.005600
67957482, 0.040700
74300913, 0.053700
12337429, 0.442600
92302234, 0.022200
2163133, 0.001900
47119903, 0.003700
30068741, 0.007400
83949732, 0.053700
41349689, 0.000000
71938233, 0.037000
23334176, 0.011100
30833623, 0.001900
12939339, 0.018500
32313962, 0.005600
23492239, 0.001900
12087822, 0.033300
46901932, 0.044400
32843212, 0.077800
12223942, 0.018500
22002733, 0.085200
31337321, 0.083300
3122223, 0.055600
91943871, 1.000000
20329158, 0.022200
73977939, 0.044400
4332186, 1.000000
83310921, 0.098100
92864112, 0.001900
19818229, 0.588900
12894339, 0.001900
25282109, 0.031500
19393332, 0.063000
21149121, 0.025900
37965192, 0.009300
79288039, 0.046300
33222644, 0.679600
78632216, 0.033300
44149291, 0.324100
11497937, 0.113000
21640229, 0.168500
88748412, 0.018500
61112994, 0.305600
87243738, 0.001900
43860130, 0.301900
11272927, 0.000000
22421032, 0.001900
32132277, 1.000000
29328762, 0.000000
19723720, 0.055600
60279744, 0.003700
10101222, 0.018500
76672893, 0.000000
81232692, 0.087000
76123181, 0.024100
97284727, 0.164800
99199514, 0.035200
31834064, 0.035200
29098401, 0.013000
14223490, 0.025900
92199231, 0.057400
29193121, 0.592600
96127249, 0.048100
22722889, 0.025900
32822167, 0.001900
71458692, 0.000000
79822914, 0.396300
29692992, 0.001900
93498018, 0.000000
19122939, 0.009300
91362241, 0.003700
72181043, 0.120400
37992102, 0.111100
12399262, 0.007400
37212339, 0.003700
36888029, 0.246300
90221128, 0.170400
62902043, 0.003700
12162934, 0.248100
22008223, 0.000000
39932201, 0.000000
34377297, 0.796300
82191462, 0.018500
28101148, 0.014800
9931098, 0.400000
30892629, 0.009300
8929741, 0.001900
26213919, 0.009300
73596492, 0.061100
72162941, 0.022200
69898126, 0.011100
16382176, 0.074100
72700692, 0.050000
81931276, 0.035200
27092241, 0.000000
42919942, 0.007400
11191227, 0.033300
62796817, 0.029600
38238866, 0.133300
12923791, 0.168500
92421112, 0.007400
69272935, 0.003700
63170208, 0.140700
74296779, 0.188900
22301496, 0.318500
3892161, 0.275900
83169361, 0.005600
97153277, 0.092600
42112693, 0.020400
41078431, 0.016700
31193623, 0.222200
21907192, 0.000000
79266208, 0.011100
23422621, 0.005600
62821698, 0.100000
36131313, 0.011100
89730419, 0.020400
39169287, 0.001900
29223659, 0.066700
59421280, 0.022200
71174769, 0.114800
98248048, 0.035200
21793810, 0.040700
51729231, 0.057400
96197539, 0.001900
91778193, 0.001900
99227336, 0.000000
52309946, 0.005600
16208219, 0.022200
27629329, 0.007400
79967758, 0.000000
49257992, 0.000000
78239227, 0.088900
79804336, 0.798100
81271119, 0.005600
12342292, 0.101900
17398191, 0.366700
26326062, 0.892600
43978852, 0.013000
19276242, 0.061100
32871216, 0.096300
61039292, 0.364800
4792801, 0.003700
99239117, 0.003700
12229023, 0.137000
40939838, 0.013000
67493394, 0.022200
91998853, 0.000000
67889237, 0.001900
41081892, 0.003700
43122939, 0.055600
19991352, 0.633300
36602662, 0.016700
8222991, 0.079600
82122781, 0.013000
29221194, 0.059300
32962119, 0.000000
91209184, 0.003700
67529329, 0.005600
23120332, 0.042600
92115789, 0.000000
14968826, 0.000000
47602921, 0.059300
39054422, 0.005600
91421439, 0.000000
16762940, 0.003700
63338911, 0.046300
62104874, 0.001900
10283171, 0.009300
33012313, 0.100000
79839897, 0.077800
16748229, 0.037000
33929435, 0.040700
13920338, 0.000000
71279826, 0.159300
92747983, 0.003700
29728926, 0.000000
27278912, 0.077800
16384332, 0.024100
36923631, 0.064800
19249831, 0.053700
42799294, 0.022200
11122377, 0.014800
46919679, 0.055600
33028963, 0.013000
44136829, 0.007400
91716987, 0.016700
48427289, 0.203700
83362002, 0.025900
10360999, 0.238900
28231317, 0.031500
66191487, 0.044400
32421262, 0.148100
42233413, 0.001900
96979320, 0.013000
16207292, 0.072200
87976321, 0.005600
62329169, 0.016700
84844791, 0.001900
42262131, 0.016700
59131126, 0.035200
33322296, 0.016700
49676925, 0.003700
97143911, 0.024100
42859427, 0.001900
42017949, 0.044400
32992006, 0.020400
59181812, 0.129600
80231132, 0.001900
73208893, 0.401900
92181638, 0.351900
22264215, 0.013000
80782061, 0.061100
30103221, 0.040700
67119202, 0.100000
61729036, 0.200000
53642932, 0.000000
92533242, 0.001900
19224476, 0.005600
31324928, 0.000000
71973431, 0.005600
1641236, 0.064800
6212236, 0.000000
93096497, 0.000000
97224283, 0.009300
12382684, 0.000000
21210489, 0.000000
21277778, 0.003700
31449241, 0.018500
3287203, 0.074100
38791993, 0.264800
38024387, 0.024100
27041433, 1.000000
42289523, 0.090700
43996747, 0.059300
37484240, 0.000000
82274418, 0.055600
93342322, 0.009300
62137862, 0.070400
92124591, 0.001900
32027923, 0.003700
28095017, 0.044400
61348281, 0.000000
60432137, 0.000000
32999732, 0.033300
72239603, 0.038900
16380280, 0.561100
82304379, 0.009300
93294269, 0.018500
32471820, 0.092600
19132372, 0.024100
32049864, 0.327800
35632629, 0.048100
84212481, 0.005600
49972367, 0.033300
89262630, 0.055600
13364203, 0.009300
96212224, 0.325900
59919894, 0.001900
16390083, 0.001900
27166024, 0.007400
36223297, 0.374100
26998252, 0.033300
26372896, 0.007400
